time: 1000000000
144 1 1
144 2 1
144 3 1
144 4 1
144 5 1
144 6 1
144 7 1
144 8 1
144 9 1
144 10 1
144 11 1
144 12 1
144 13 1
144 14 1
144 15 1
144 16 1
144 17 1
144 18 1
144 19 1
144 20 1
145 1 1
145 2 1
145 3 1
145 4 1
145 5 1
145 6 1
145 7 1
145 8 1
145 9 1
145 10 1
145 11 1
145 12 1
145 13 1
145 14 1
145 15 1
145 16 1
145 17 1
145 18 1
145 19 1
145 20 1
146 1 1
146 2 1
146 3 1
146 4 1
146 5 1
146 6 1
146 7 1
146 8 1
146 9 1
146 10 1
146 11 1
146 12 1
146 13 1
146 14 1
146 15 1
146 16 1
146 17 1
146 18 1
146 19 1
146 20 1
147 1 1
147 2 1
147 3 1
147 4 1
147 5 1
147 6 1
147 7 1
147 8 1
147 9 1
147 10 1
147 11 1
147 12 1
147 13 1
147 14 1
147 15 1
147 16 1
147 17 1
147 18 1
147 19 1
147 20 1
148 1 1
148 2 1
148 3 1
148 4 1
148 5 1
148 6 1
148 7 1
148 8 1
148 9 1
148 10 1
148 11 1
148 12 1
148 13 1
148 14 1
148 15 1
148 16 1
148 17 1
148 18 1
148 19 1
148 20 1
149 1 1
149 2 1
149 3 1
149 4 1
149 5 1
149 6 1
149 7 1
149 8 1
149 9 1
149 10 1
149 11 1
149 12 1
149 13 1
149 14 1
149 15 1
149 16 1
149 17 1
149 18 1
149 19 1
149 20 1
150 1 1
150 2 1
150 3 1
150 4 1
150 5 1
150 6 1
150 7 1
150 8 1
150 9 1
150 10 1
150 11 1
150 12 1
150 13 1
150 14 1
150 15 1
150 16 1
150 17 1
150 18 1
150 19 1
150 20 1
151 1 1
151 2 1
151 3 1
151 4 1
151 5 1
151 6 1
151 7 1
151 8 1
151 9 1
151 10 1
151 11 1
151 12 1
151 13 1
151 14 1
151 15 1
151 16 1
151 17 1
151 18 1
151 19 1
151 20 1
152 1 1
152 2 1
152 3 1
152 4 1
152 5 1
152 6 1
152 7 1
152 8 1
152 9 1
152 10 1
152 11 1
152 12 1
152 13 1
152 14 1
152 15 1
152 16 1
152 17 1
152 18 1
152 19 1
152 20 1
153 1 1
153 2 1
153 3 1
153 4 1
153 5 1
153 6 1
153 7 1
153 8 1
153 9 1
154 1 1
154 2 1
154 3 1
154 4 1
154 5 1
154 6 1
154 7 1
154 8 1
154 9 1
155 1 1
155 2 1
155 3 1
155 4 1
155 5 1
155 6 1
155 7 1
155 8 1
155 9 1
156 1 1
156 2 1
156 3 1
156 4 1
156 5 1
156 6 1
156 7 1
156 8 1
156 9 1
time: 1100000000
144 1 880827 99032 27 17502 2224 100 264 12 13
144 2 881818 99159 70 16742 1882 134 179 6 10 1
144 3 873516 104978 57 18808 2261 146 213 9 12 1
144 4 897864 87173 48 13381 1353 58 112 2 10
144 5 811344 113243 133 41250 12582 5073 8292 527 3256 1504 240 1017 366 349 368 49 180 96 21 40 20 14 22 0 15
144 6 850134 92064 217 32085 9390 3789 6089 717 2204 1288 193 858 322 228 225 64 89 17 25 3
144 7 753057 136992 235 58689 18720 7479 12339 796 5413 2619 342 1513 412 454 497 85 196 83 22 51 0 7
144 8 767447 126231 223 56229 21812 5021 12088 1240 4285 2201 195 1191 533 283 436 156 198 129 23 56 6 14 4
144 9 794160 111802 206 47173 17070 6850 11798 958 4690 2173 318 1180 381 311 433 126 181 64 38 68 11 10
144 10 790729 116333 107 50062 18611 4569 9891 718 3688 2020 156 1267 509 310 520 79 201 81 36 63 8 26 17
144 11 701249 144970 523 76957 28481 10665 18119 1982 6806 3301 804 2212 834 738 915 412 332 272 93 185 43 71 25 5 5 2
144 12 779460 115343 145 54992 21177 4788 11579 1537 4101 2711 96 1608 744 263 603 164 240 208 37 113 32 16 22 0 5 6 0 5 0 5 1
144 13 723818 148921 468 70507 20007 10983 12537 972 4665 2118 678 1523 739 501 682 236 249 131 108 78 43 5 30 2
