time: 1000000000
144 1 1
144 2 1
144 3 1
144 4 1
144 5 1
144 6 1
144 7 1
144 8 1
144 9 1
144 10 1
144 11 1
144 12 1
144 13 1
144 14 1
144 15 1
144 16 1
144 17 1
144 18 1
144 19 1
144 20 1
145 1 1
145 2 1
145 3 1
145 4 1
145 5 1
145 6 1
145 7 1
145 8 1
145 9 1
145 10 1
145 11 1
145 12 1
145 13 1
145 14 1
145 15 1
145 16 1
145 17 1
145 18 1
145 19 1
145 20 1
146 1 1
146 2 1
146 3 1
146 4 1
146 5 1
146 6 1
146 7 1
146 8 1
146 9 1
146 10 1
146 11 1
146 12 1
146 13 1
146 14 1
146 15 1
146 16 1
146 17 1
146 18 1
146 19 1
146 20 1
147 1 1
147 2 1
147 3 1
147 4 1
147 5 1
147 6 1
147 7 1
147 8 1
147 9 1
147 10 1
147 11 1
147 12 1
147 13 1
147 14 1
147 15 1
147 16 1
147 17 1
147 18 1
147 19 1
147 20 1
148 1 1
148 2 1
148 3 1
148 4 1
148 5 1
148 6 1
148 7 1
148 8 1
148 9 1
148 10 1
148 11 1
148 12 1
148 13 1
148 14 1
148 15 1
148 16 1
148 17 1
148 18 1
148 19 1
148 20 1
149 1 1
149 2 1
149 3 1
149 4 1
149 5 1
149 6 1
149 7 1
149 8 1
149 9 1
149 10 1
149 11 1
149 12 1
149 13 1
149 14 1
149 15 1
149 16 1
149 17 1
149 18 1
149 19 1
149 20 1
150 1 1
150 2 1
150 3 1
150 4 1
150 5 1
150 6 1
150 7 1
150 8 1
150 9 1
150 10 1
150 11 1
150 12 1
150 13 1
150 14 1
150 15 1
150 16 1
150 17 1
150 18 1
150 19 1
150 20 1
151 1 1
151 2 1
151 3 1
151 4 1
151 5 1
151 6 1
151 7 1
151 8 1
151 9 1
151 10 1
151 11 1
151 12 1
151 13 1
151 14 1
151 15 1
151 16 1
151 17 1
151 18 1
151 19 1
151 20 1
152 1 1
152 2 1
152 3 1
152 4 1
152 5 1
152 6 1
152 7 1
152 8 1
152 9 1
152 10 1
152 11 1
152 12 1
152 13 1
152 14 1
152 15 1
152 16 1
152 17 1
152 18 1
152 19 1
152 20 1
153 1 1
153 2 1
153 3 1
153 4 1
153 5 1
153 6 1
153 7 1
153 8 1
153 9 1
154 1 1
154 2 1
154 3 1
154 4 1
154 5 1
154 6 1
154 7 1
154 8 1
154 9 1
155 1 1
155 2 1
155 3 1
155 4 1
155 5 1
155 6 1
155 7 1
155 8 1
155 9 1
156 1 1
156 2 1
156 3 1
156 4 1
156 5 1
156 6 1
156 7 1
156 8 1
156 9 1
time: 1100000000
144 1 898908 77494 0 13360 2640 22 1199 859 79 902 390 446 696 67 705 701 24 506 273 14 225 68 68 106 13 61 40 0 37 44 0 33 13 5 3
144 2 867725 94381 0 20056 4402 0 1923 1383 30 1047 485 373 781 335 459 651 20 556 373 41 440 446 107 426 201 138 208 87 85 160 1 188 167 2 204 235 10 261 155 55 224 162 105 283 2 279 172 5 106 47 1 14 1 3
144 3 882088 85643 0 15168 3348 7 1801 1431 70 1421 465 889 1212 41 1039 937 3 683 525 9 564 466 121 594 103 231 142 13 75 38 56 135 32 130 165 23 140 66 35 54 6 19 7 0 6
144 4 880578 85307 0 18313 4487 35 2107 1169 178 1048 536 332 693 121 533 375 80 322 261 41 378 450 76 580 288 193 448 63 259 111 13 70 22 20 23 36 32 87 6 100 39 21 24 0 39 33 3 38 9 10 12 0 1 1
144 5 669142 34992 0 49718 65467 155 17333 4938 3391 10391 2922 8905 9492 2081 11332 8831 11352 20912 3907 2633 3026 692 1515 1405 718 2546 1217 1331 3384 3547 4701 1699 478 486 582 548 897 517 137 634 399 371 1172 1058 832 867 393 1385 170 321 641 118 861 840 830 447 1279 419 473 247 259 711 126 955 954 94 1522 1645 2115 1631 1441 52 954 538 224 674 153 497 640 0 672 814 30 516 245 0 253 160 119 288 208 110 310 0 14
