time: 1000000000
144 1 1
144 2 1
144 3 1
144 4 1
144 5 1
144 6 1
144 7 1
144 8 1
144 9 1
144 10 1
144 11 1
144 12 1
144 13 1
144 14 1
144 15 1
144 16 1
144 17 1
144 18 1
144 19 1
144 20 1
145 1 1
145 2 1
145 3 1
145 4 1
145 5 1
145 6 1
145 7 1
145 8 1
145 9 1
145 10 1
145 11 1
145 12 1
145 13 1
145 14 1
145 15 1
145 16 1
145 17 1
145 18 1
145 19 1
145 20 1
146 1 1
146 2 1
146 3 1
146 4 1
146 5 1
146 6 1
146 7 1
146 8 1
146 9 1
146 10 1
146 11 1
146 12 1
146 13 1
146 14 1
146 15 1
146 16 1
146 17 1
146 18 1
146 19 1
146 20 1
147 1 1
147 2 1
147 3 1
147 4 1
147 5 1
147 6 1
147 7 1
147 8 1
147 9 1
147 10 1
147 11 1
147 12 1
147 13 1
147 14 1
147 15 1
147 16 1
147 17 1
147 18 1
147 19 1
147 20 1
148 1 1
148 2 1
148 3 1
148 4 1
148 5 1
148 6 1
148 7 1
148 8 1
148 9 1
148 10 1
148 11 1
148 12 1
148 13 1
148 14 1
148 15 1
148 16 1
148 17 1
148 18 1
148 19 1
148 20 1
149 1 1
149 2 1
149 3 1
149 4 1
149 5 1
149 6 1
149 7 1
149 8 1
149 9 1
149 10 1
149 11 1
149 12 1
149 13 1
149 14 1
149 15 1
149 16 1
149 17 1
149 18 1
149 19 1
149 20 1
150 1 1
150 2 1
150 3 1
150 4 1
150 5 1
150 6 1
150 7 1
150 8 1
150 9 1
150 10 1
150 11 1
150 12 1
150 13 1
150 14 1
150 15 1
150 16 1
150 17 1
150 18 1
150 19 1
150 20 1
151 1 1
151 2 1
151 3 1
151 4 1
151 5 1
151 6 1
151 7 1
151 8 1
151 9 1
151 10 1
151 11 1
151 12 1
151 13 1
151 14 1
151 15 1
151 16 1
151 17 1
151 18 1
151 19 1
151 20 1
152 1 1
152 2 1
152 3 1
152 4 1
152 5 1
152 6 1
152 7 1
152 8 1
152 9 1
152 10 1
152 11 1
152 12 1
152 13 1
152 14 1
152 15 1
152 16 1
152 17 1
152 18 1
152 19 1
152 20 1
153 1 1
153 2 1
153 3 1
153 4 1
153 5 1
153 6 1
153 7 1
153 8 1
153 9 1
154 1 1
154 2 1
154 3 1
154 4 1
154 5 1
154 6 1
154 7 1
154 8 1
154 9 1
155 1 1
155 2 1
155 3 1
155 4 1
155 5 1
155 6 1
155 7 1
155 8 1
155 9 1
156 1 1
156 2 1
156 3 1
156 4 1
156 5 1
156 6 1
156 7 1
156 8 1
156 9 1
time: 1100000000
144 1 965042 32351 0 2558 50
144 2 999803 198
144 3 983100 16381 0 517 3
144 4 989573 10371 0 57
144 5 940003 36566 0 22137 1132 163
144 6 989318 3430 0 2836 2602 0 1429 323 0 51 0 11 1
144 7 994549 2814 0 1162 791 43 500 89 39 14
144 8 988897 11100 0 4
144 9 965851 31221 0 1554 946 0 293 66 0 33 0 19 16 0 2
144 10 999995 6
144 11 1000001
144 12 999735 255 0 11
144 13 978359 20024 0 821 285 182 191 12 50 13 0 17 1 31 15
144 14 909797 53373 0 30874 5456 2 354 57 0 21 0 29 32 0 6
144 15 978268 20591 0 1026 51 0 38 14 0 12 0 1
144 16 998279 1480 0 198 8 36
144 17 999472 516 0 12 1
144 18 604896 156139 0 139131 57939 9967 23248 2593 4308 1336 1 260 55 16 28 0 43 19 17 5
144 19 993202 2090 0 2895 1352 138 267 51 0 6
144 20 999994 7
145 1 986831 12767 0 403
145 2 974224 24657 0 1107 13
145 3 979977 19948 0 76
145 4 987427 12119 0 447 8
145 5 983177 16464 0 173 97 0 35 38 0 17
145 6 550012 155629 0 162039 92906 364 30961 6563 150 1027 0 164 67 0 59 28 0 17 0 6 7 0 2
145 7 993941 5800 0 48 42 5 57 38 13 38 0 18 1
145 8 958626 14422 1 8121 5863 365 5279 4491 146 2354 0 325 8
145 9 999843 158
145 10 999204 797
145 11 977092 22641 0 231 22 0 11 4
