time: 1000000000
144 1 1
144 2 1
144 3 1
144 4 1
144 5 1
144 6 1
144 7 1
144 8 1
144 9 1
144 10 1
144 11 1
144 12 1
144 13 1
144 14 1
144 15 1
144 16 1
144 17 1
144 18 1
144 19 1
144 20 1
145 1 1
145 2 1
145 3 1
145 4 1
145 5 1
145 6 1
145 7 1
145 8 1
145 9 1
145 10 1
145 11 1
145 12 1
145 13 1
145 14 1
145 15 1
145 16 1
145 17 1
145 18 1
145 19 1
145 20 1
146 1 1
146 2 1
146 3 1
146 4 1
146 5 1
146 6 1
146 7 1
146 8 1
146 9 1
146 10 1
146 11 1
146 12 1
146 13 1
146 14 1
146 15 1
146 16 1
146 17 1
146 18 1
146 19 1
146 20 1
147 1 1
147 2 1
147 3 1
147 4 1
147 5 1
147 6 1
147 7 1
147 8 1
147 9 1
147 10 1
147 11 1
147 12 1
147 13 1
147 14 1
147 15 1
147 16 1
147 17 1
147 18 1
147 19 1
147 20 1
148 1 1
148 2 1
148 3 1
148 4 1
148 5 1
148 6 1
148 7 1
148 8 1
148 9 1
148 10 1
148 11 1
148 12 1
148 13 1
148 14 1
148 15 1
148 16 1
148 17 1
148 18 1
148 19 1
148 20 1
149 1 1
149 2 1
149 3 1
149 4 1
149 5 1
149 6 1
149 7 1
149 8 1
149 9 1
149 10 1
149 11 1
149 12 1
149 13 1
149 14 1
149 15 1
149 16 1
149 17 1
149 18 1
149 19 1
149 20 1
150 1 1
150 2 1
150 3 1
150 4 1
150 5 1
150 6 1
150 7 1
150 8 1
150 9 1
150 10 1
150 11 1
150 12 1
150 13 1
150 14 1
150 15 1
150 16 1
150 17 1
150 18 1
150 19 1
150 20 1
151 1 1
151 2 1
151 3 1
151 4 1
151 5 1
151 6 1
151 7 1
151 8 1
151 9 1
151 10 1
151 11 1
151 12 1
151 13 1
151 14 1
151 15 1
151 16 1
151 17 1
151 18 1
151 19 1
151 20 1
152 1 1
152 2 1
152 3 1
152 4 1
152 5 1
152 6 1
152 7 1
152 8 1
152 9 1
152 10 1
152 11 1
152 12 1
152 13 1
152 14 1
152 15 1
152 16 1
152 17 1
152 18 1
152 19 1
152 20 1
153 1 1
153 2 1
153 3 1
153 4 1
153 5 1
153 6 1
153 7 1
153 8 1
153 9 1
154 1 1
154 2 1
154 3 1
154 4 1
154 5 1
154 6 1
154 7 1
154 8 1
154 9 1
155 1 1
155 2 1
155 3 1
155 4 1
155 5 1
155 6 1
155 7 1
155 8 1
155 9 1
156 1 1
156 2 1
156 3 1
156 4 1
156 5 1
156 6 1
156 7 1
156 8 1
156 9 1
time: 1100000000
144 1 923714 67534 0 8547 206
144 2 999712 289
144 3 968045 30001 0 1917 38
144 4 982040 17541 0 409 11
144 5 922147 15970 0 1556 35218 18 23664 1038 253 127 0 9 1
144 6 994147 4390 0 241 50 0 24 9 0 22 13 0 33 43 0 120 0 462 368 0 78 1
144 7 995811 2844 0 53 31 0 13 8 0 13 364 0 813 51
144 8 984446 14269 0 42 342 0 776 126
144 9 978022 18225 0 102 65 0 52 61 0 100 2021 0 1306 47
144 10 999925 76
144 11 999975 26
144 12 999389 602 0 8 2
144 13 981883 15830 0 65 30 0 27 27 8 22 8 79 1527 0 495
144 14 741273 11975 0 5758 28652 0 62833 7280 3 14631 56842 13 61730 4594 3 1535 0 228 55 0 46 64 0 542 1214 0 654 76
144 15 841142 8160 0 88 25 0 23 358 0 7116 66582 42 71680 4672 2 32 0 37 26 0 14 2
144 16 997932 1736 0 174 159
144 17 972531 26453 0 45 56 0 36 88 0 170 485 0 135 2
144 18 596311 27864 0 477 5396 180 7069 968 1620 41866 21772 168535 116193 1461 4023 117 20 117 41 40 164 137 626 2282 170 2091 372 39 41 3 6
144 19 987089 3723 0 302 322 0 1720 4953 149 1666 33 44
144 20 993170 6807 0 23 1
145 1 981359 17797 0 845
145 2 967898 30528 0 1544 31
145 3 974096 25490 0 415
145 4 972567 26154 0 1249 31
145 5 985453 14070 0 19 12 0 18 22 0 33 116 0 249 9
