time: 1000000000
144 1 1
144 2 1
144 3 1
144 4 1
144 5 1
144 6 1
144 7 1
144 8 1
144 9 1
144 10 1
144 11 1
144 12 1
144 13 1
144 14 1
144 15 1
144 16 1
144 17 1
144 18 1
144 19 1
144 20 1
145 1 1
145 2 1
145 3 1
145 4 1
145 5 1
145 6 1
145 7 1
145 8 1
145 9 1
145 10 1
145 11 1
145 12 1
145 13 1
145 14 1
145 15 1
145 16 1
145 17 1
145 18 1
145 19 1
145 20 1
146 1 1
146 2 1
146 3 1
146 4 1
146 5 1
146 6 1
146 7 1
146 8 1
146 9 1
146 10 1
146 11 1
146 12 1
146 13 1
146 14 1
146 15 1
146 16 1
146 17 1
146 18 1
146 19 1
146 20 1
147 1 1
147 2 1
147 3 1
147 4 1
147 5 1
147 6 1
147 7 1
147 8 1
147 9 1
147 10 1
147 11 1
147 12 1
147 13 1
147 14 1
147 15 1
147 16 1
147 17 1
147 18 1
147 19 1
147 20 1
148 1 1
148 2 1
148 3 1
148 4 1
148 5 1
148 6 1
148 7 1
148 8 1
148 9 1
148 10 1
148 11 1
148 12 1
148 13 1
148 14 1
148 15 1
148 16 1
148 17 1
148 18 1
148 19 1
148 20 1
149 1 1
149 2 1
149 3 1
149 4 1
149 5 1
149 6 1
149 7 1
149 8 1
149 9 1
149 10 1
149 11 1
149 12 1
149 13 1
149 14 1
149 15 1
149 16 1
149 17 1
149 18 1
149 19 1
149 20 1
150 1 1
150 2 1
150 3 1
150 4 1
150 5 1
150 6 1
150 7 1
150 8 1
150 9 1
150 10 1
150 11 1
150 12 1
150 13 1
150 14 1
150 15 1
150 16 1
150 17 1
150 18 1
150 19 1
150 20 1
151 1 1
151 2 1
151 3 1
151 4 1
151 5 1
151 6 1
151 7 1
151 8 1
151 9 1
151 10 1
151 11 1
151 12 1
151 13 1
151 14 1
151 15 1
151 16 1
151 17 1
151 18 1
151 19 1
151 20 1
152 1 1
152 2 1
152 3 1
152 4 1
152 5 1
152 6 1
152 7 1
152 8 1
152 9 1
152 10 1
152 11 1
152 12 1
152 13 1
152 14 1
152 15 1
152 16 1
152 17 1
152 18 1
152 19 1
152 20 1
153 1 1
153 2 1
153 3 1
153 4 1
153 5 1
153 6 1
153 7 1
153 8 1
153 9 1
154 1 1
154 2 1
154 3 1
154 4 1
154 5 1
154 6 1
154 7 1
154 8 1
154 9 1
155 1 1
155 2 1
155 3 1
155 4 1
155 5 1
155 6 1
155 7 1
155 8 1
155 9 1
156 1 1
156 2 1
156 3 1
156 4 1
156 5 1
156 6 1
156 7 1
156 8 1
156 9 1
time: 1100000000
144 1 861142 114827 80 21035 2452 180 262 5 15 3
144 2 920914 69965 9 8480 578 24 31
144 3 896468 87566 31 14187 1499 110 131 0 8 1
144 4 895970 89586 27 13092 1202 55 68 0 1
144 5 707636 153994 69 82274 31260 5456 12653 659 3106 1305 103 735 262 136 223 19 72 31 4 4
144 6 843548 92682 113 40846 12013 3086 4520 399 1024 573 93 378 190 126 229 49 79 42 1 10
144 7 793740 113266 48 56175 20710 2947 8027 716 1878 1047 7 570 261 62 257 53 173 46 12 6
144 8 835471 87898 5 43188 19392 1121 7853 1474 1094 1148 1 660 312 28 145 56 38 62 0 28 11 0 9 7
144 9 723504 137432 315 76444 29176 7634 14991 3198 2418 1967 243 995 367 314 407 184 208 88 22 55 30 0 9
144 10 842980 94705 14 36713 14109 708 5967 570 1963 1009 6 444 265 39 241 88 78 69 0 28 1 4
144 11 667943 152778 156 102284 43899 5240 17250 1082 4006 1744 67 1174 708 195 604 164 284 232 41 99 19 13 4 12 3
144 12 817031 101883 270 45706 14412 5219 8462 766 3082 1319 239 605 214 164 232 109 145 53 34 20 5 12 3 5 10 0 1
144 13 676129 169488 1070 91718 19160 20463 13746 214 4423 1087 524 817 178 388 260 84 147 14 37 23 11 16 0 4
144 14 763640 160213 583 49762 8883 6197 5315 192 2243 901 457 623 202 252 201 74 157 21 50 24 1 9 1
