time: 1000000000
144 1 1
144 2 1
144 3 1
144 4 1
144 5 1
144 6 1
144 7 1
144 8 1
144 9 1
144 10 1
144 11 1
144 12 1
144 13 1
144 14 1
144 15 1
144 16 1
144 17 1
144 18 1
144 19 1
144 20 1
145 1 1
145 2 1
145 3 1
145 4 1
145 5 1
145 6 1
145 7 1
145 8 1
145 9 1
145 10 1
145 11 1
145 12 1
145 13 1
145 14 1
145 15 1
145 16 1
145 17 1
145 18 1
145 19 1
145 20 1
146 1 1
146 2 1
146 3 1
146 4 1
146 5 1
146 6 1
146 7 1
146 8 1
146 9 1
146 10 1
146 11 1
146 12 1
146 13 1
146 14 1
146 15 1
146 16 1
146 17 1
146 18 1
146 19 1
146 20 1
147 1 1
147 2 1
147 3 1
147 4 1
147 5 1
147 6 1
147 7 1
147 8 1
147 9 1
147 10 1
147 11 1
147 12 1
147 13 1
147 14 1
147 15 1
147 16 1
147 17 1
147 18 1
147 19 1
147 20 1
148 1 1
148 2 1
148 3 1
148 4 1
148 5 1
148 6 1
148 7 1
148 8 1
148 9 1
148 10 1
148 11 1
148 12 1
148 13 1
148 14 1
148 15 1
148 16 1
148 17 1
148 18 1
148 19 1
148 20 1
149 1 1
149 2 1
149 3 1
149 4 1
149 5 1
149 6 1
149 7 1
149 8 1
149 9 1
149 10 1
149 11 1
149 12 1
149 13 1
149 14 1
149 15 1
149 16 1
149 17 1
149 18 1
149 19 1
149 20 1
150 1 1
150 2 1
150 3 1
150 4 1
150 5 1
150 6 1
150 7 1
150 8 1
150 9 1
150 10 1
150 11 1
150 12 1
150 13 1
150 14 1
150 15 1
150 16 1
150 17 1
150 18 1
150 19 1
150 20 1
151 1 1
151 2 1
151 3 1
151 4 1
151 5 1
151 6 1
151 7 1
151 8 1
151 9 1
151 10 1
151 11 1
151 12 1
151 13 1
151 14 1
151 15 1
151 16 1
151 17 1
151 18 1
151 19 1
151 20 1
152 1 1
152 2 1
152 3 1
152 4 1
152 5 1
152 6 1
152 7 1
152 8 1
152 9 1
152 10 1
152 11 1
152 12 1
152 13 1
152 14 1
152 15 1
152 16 1
152 17 1
152 18 1
152 19 1
152 20 1
153 1 1
153 2 1
153 3 1
153 4 1
153 5 1
153 6 1
153 7 1
153 8 1
153 9 1
154 1 1
154 2 1
154 3 1
154 4 1
154 5 1
154 6 1
154 7 1
154 8 1
154 9 1
155 1 1
155 2 1
155 3 1
155 4 1
155 5 1
155 6 1
155 7 1
155 8 1
155 9 1
156 1 1
156 2 1
156 3 1
156 4 1
156 5 1
156 6 1
156 7 1
156 8 1
156 9 1
time: 1100000000
144 1 913544 70145 0 9929 1590 0 815 644 0 388 233 0 204 256 10 377 0 473 368 0 301 300 0 156 86 0 91 65 0 26
144 2 891648 76151 0 12959 3159 0 1752 1166 74 1130 279 946 1134 18 734 436 3 386 445 27 369 132 20 93 15 79 85 0 89 87 7 166 320 20 564 664 44 647 145 472 632 3 602 325 9 209 120 118 366 67 478 264 35 85 26 3 19 8 9 11 6 4 15 2 11 10 0 10 9 4 15 3 19 15 4 13 4 0 3
144 3 927653 60349 0 7110 1054 1 767 687 6 577 184 153 164 19 93 154 0 247 256 0 204 122 16 75 11 29 31 0 19 11 0 6 3
144 4 928435 61032 0 8956 1335 0 226 16 0 1
144 5 660796 43693 0 43299 53409 23 7984 1323 3879 5796 53 25434 11014 453 2560 2448 7713 14069 3858 1735 1743 677 1599 1172 2083 2321 949 2885 12410 8929 13861 6582 2848 2543 821 2085 2844 897 175 924 1612 2072 20150 1517 10012 1490 1 1314 1185 0 980 896 0 683 142 60
144 6 740303 95396 0 19264 12731 73 10323 8720 3133 8042 2393 9074 9933 3132 1537 3817 278 1993 721 1019 1727 663 1918 759 1333 895 821 214 849 830 197 810 944 210 2084 12814 1267 6216 285 737 1029 163 883 1063 154 982 1090 132 939 625 347 1118 389 535 288 235 251 222 289 304 1280 523 951 124 208 572 354 269 582 214 974 1776 28 6894 6472 0 285 2
