time: 1000000000
144 1 1
144 2 1
144 3 1
144 4 1
144 5 1
144 6 1
144 7 1
144 8 1
144 9 1
144 10 1
144 11 1
144 12 1
144 13 1
144 14 1
144 15 1
144 16 1
144 17 1
144 18 1
144 19 1
144 20 1
145 1 1
145 2 1
145 3 1
145 4 1
145 5 1
145 6 1
145 7 1
145 8 1
145 9 1
145 10 1
145 11 1
145 12 1
145 13 1
145 14 1
145 15 1
145 16 1
145 17 1
145 18 1
145 19 1
145 20 1
146 1 1
146 2 1
146 3 1
146 4 1
146 5 1
146 6 1
146 7 1
146 8 1
146 9 1
146 10 1
146 11 1
146 12 1
146 13 1
146 14 1
146 15 1
146 16 1
146 17 1
146 18 1
146 19 1
146 20 1
147 1 1
147 2 1
147 3 1
147 4 1
147 5 1
147 6 1
147 7 1
147 8 1
147 9 1
147 10 1
147 11 1
147 12 1
147 13 1
147 14 1
147 15 1
147 16 1
147 17 1
147 18 1
147 19 1
147 20 1
148 1 1
148 2 1
148 3 1
148 4 1
148 5 1
148 6 1
148 7 1
148 8 1
148 9 1
148 10 1
148 11 1
148 12 1
148 13 1
148 14 1
148 15 1
148 16 1
148 17 1
148 18 1
148 19 1
148 20 1
149 1 1
149 2 1
149 3 1
149 4 1
149 5 1
149 6 1
149 7 1
149 8 1
149 9 1
149 10 1
149 11 1
149 12 1
149 13 1
149 14 1
149 15 1
149 16 1
149 17 1
149 18 1
149 19 1
149 20 1
150 1 1
150 2 1
150 3 1
150 4 1
150 5 1
150 6 1
150 7 1
150 8 1
150 9 1
150 10 1
150 11 1
150 12 1
150 13 1
150 14 1
150 15 1
150 16 1
150 17 1
150 18 1
150 19 1
150 20 1
151 1 1
151 2 1
151 3 1
151 4 1
151 5 1
151 6 1
151 7 1
151 8 1
151 9 1
151 10 1
151 11 1
151 12 1
151 13 1
151 14 1
151 15 1
151 16 1
151 17 1
151 18 1
151 19 1
151 20 1
152 1 1
152 2 1
152 3 1
152 4 1
152 5 1
152 6 1
152 7 1
152 8 1
152 9 1
152 10 1
152 11 1
152 12 1
152 13 1
152 14 1
152 15 1
152 16 1
152 17 1
152 18 1
152 19 1
152 20 1
153 1 1
153 2 1
153 3 1
153 4 1
153 5 1
153 6 1
153 7 1
153 8 1
153 9 1
154 1 1
154 2 1
154 3 1
154 4 1
154 5 1
154 6 1
154 7 1
154 8 1
154 9 1
155 1 1
155 2 1
155 3 1
155 4 1
155 5 1
155 6 1
155 7 1
155 8 1
155 9 1
156 1 1
156 2 1
156 3 1
156 4 1
156 5 1
156 6 1
156 7 1
156 8 1
156 9 1
time: 1100000000
144 1 864123 105638 0 20345 3124 2 990 887 39 738 327 159 287 99 73 197 0 285 401 1 436 429 0 372 261 4 182 117 8 85 103 4 132 0 102 38 0 11 2
144 2 840943 103151 0 22917 5036 35 1910 894 247 1026 95 1062 1339 22 1507 1320 191 1598 730 600 1087 183 849 1149 239 1073 1161 196 918 686 131 487 235 36 225 92 209 405 24 327 234 13 146 162 28 284 400 155 680 362 316 437 86 186 358 1 466 448 36 409 115 130 130 19 11 12 7 3 16 1 7 6 0 1 1
144 3 864759 97463 0 20133 4744 13 2363 1653 74 1105 457 283 600 124 370 398 1 331 285 11 262 253 45 291 53 154 155 15 173 238 0 276 252 1 181 90 64 100 3 73 67 0 74 31 0 16 14 3 20 4 11 20 2 7 12 0 17 47 1 96 109 54 161 18 118 98 2 56 42 2 55 69 17 95 45 65 69 9 66 47 4 30 15 1 6 12 9 25 23 31 94 39 81 84 14 36 9 2 1
144 4 904573 78692 0 13489 2241 1 529 158 12 105 23 56 62 1 46 10 0 3
144 5 688307 26449 0 29449 36831 39 10051 694 7915 23617 191 25317 7630 121 5364 1854 16474 9912 1783 3888 4977 168 3658 1318 1762 3282 915 3589 11287 3048 14095 3111 1919 3032 629 2158 2577 841 2231 487 2873 2187 14048 2400 3216 967 139 1294 1178 714 932 1244 526 343 1720 559 802 683 508 311 446 511 77 412 117 285 357 0 182
