time: 1000000000
144 1 1
144 2 1
144 3 1
144 4 1
144 5 1
144 6 1
144 7 1
144 8 1
144 9 1
144 10 1
144 11 1
144 12 1
144 13 1
144 14 1
144 15 1
144 16 1
144 17 1
144 18 1
144 19 1
144 20 1
145 1 1
145 2 1
145 3 1
145 4 1
145 5 1
145 6 1
145 7 1
145 8 1
145 9 1
145 10 1
145 11 1
145 12 1
145 13 1
145 14 1
145 15 1
145 16 1
145 17 1
145 18 1
145 19 1
145 20 1
146 1 1
146 2 1
146 3 1
146 4 1
146 5 1
146 6 1
146 7 1
146 8 1
146 9 1
146 10 1
146 11 1
146 12 1
146 13 1
146 14 1
146 15 1
146 16 1
146 17 1
146 18 1
146 19 1
146 20 1
147 1 1
147 2 1
147 3 1
147 4 1
147 5 1
147 6 1
147 7 1
147 8 1
147 9 1
147 10 1
147 11 1
147 12 1
147 13 1
147 14 1
147 15 1
147 16 1
147 17 1
147 18 1
147 19 1
147 20 1
148 1 1
148 2 1
148 3 1
148 4 1
148 5 1
148 6 1
148 7 1
148 8 1
148 9 1
148 10 1
148 11 1
148 12 1
148 13 1
148 14 1
148 15 1
148 16 1
148 17 1
148 18 1
148 19 1
148 20 1
149 1 1
149 2 1
149 3 1
149 4 1
149 5 1
149 6 1
149 7 1
149 8 1
149 9 1
149 10 1
149 11 1
149 12 1
149 13 1
149 14 1
149 15 1
149 16 1
149 17 1
149 18 1
149 19 1
149 20 1
150 1 1
150 2 1
150 3 1
150 4 1
150 5 1
150 6 1
150 7 1
150 8 1
150 9 1
150 10 1
150 11 1
150 12 1
150 13 1
150 14 1
150 15 1
150 16 1
150 17 1
150 18 1
150 19 1
150 20 1
151 1 1
151 2 1
151 3 1
151 4 1
151 5 1
151 6 1
151 7 1
151 8 1
151 9 1
151 10 1
151 11 1
151 12 1
151 13 1
151 14 1
151 15 1
151 16 1
151 17 1
151 18 1
151 19 1
151 20 1
152 1 1
152 2 1
152 3 1
152 4 1
152 5 1
152 6 1
152 7 1
152 8 1
152 9 1
152 10 1
152 11 1
152 12 1
152 13 1
152 14 1
152 15 1
152 16 1
152 17 1
152 18 1
152 19 1
152 20 1
153 1 1
153 2 1
153 3 1
153 4 1
153 5 1
153 6 1
153 7 1
153 8 1
153 9 1
154 1 1
154 2 1
154 3 1
154 4 1
154 5 1
154 6 1
154 7 1
154 8 1
154 9 1
155 1 1
155 2 1
155 3 1
155 4 1
155 5 1
155 6 1
155 7 1
155 8 1
155 9 1
156 1 1
156 2 1
156 3 1
156 4 1
156 5 1
156 6 1
156 7 1
156 8 1
156 9 1
time: 1100000000
144 1 852513 96005 23547 6450 2862 1878 1453 1224 1066 930 809 798 776 607 512 467 481 562 431 379 330 309 332 330 305 316 283 282 308 281 211 180 148 139 137 177 186 196 204 153 113 68 83 104 91 90 56 67 53 39 37 52 62 55 51 41 38 45 34 36 28 28 27 27 30 14 11 10 12 12 16 9 5
144 2 876631 94407 20537 3965 1101 644 451 327 233 182 180 157 184 160 149 161 140 148 90 67 51 25 9 2
144 3 837278 98992 22671 5549 2002 1235 955 753 743 742 768 681 766 691 596 604 568 506 463 404 440 448 441 433 426 443 405 386 424 488 499 477 447 482 450 427 376 346 386 296 338 320 301 325 283 317 362 405 441 385 388 357 289 316 294 247 190 196 156 182 200 215 263 314 250 257 215 225 234 263 282 254 248 290 307 297 295 321 314 252 213 176 189 185 194 193 186 151 172 163 123 101 104 61 69 70 58 50 46 36 26 21 18 16 26 9 8 16 14 21 23 37 40 35 48 46 60 57 34 16 10 4 1
144 4 882490 87445 17376 3600 1093 603 440 399 342 315 332 313 421 356 388 288 258 243 226 238 208 216 202 188 168 183 130 103 116 103 103 78 90 59 59 58 88 90 89 81 48 44 20 27 13 19 18 31 42 49 43 23 22 15 7 2
