time: 1000000000
144 1 1
144 2 1
144 3 1
144 4 1
144 5 1
144 6 1
144 7 1
144 8 1
144 9 1
144 10 1
144 11 1
144 12 1
144 13 1
144 14 1
144 15 1
144 16 1
144 17 1
144 18 1
144 19 1
144 20 1
145 1 1
145 2 1
145 3 1
145 4 1
145 5 1
145 6 1
145 7 1
145 8 1
145 9 1
145 10 1
145 11 1
145 12 1
145 13 1
145 14 1
145 15 1
145 16 1
145 17 1
145 18 1
145 19 1
145 20 1
146 1 1
146 2 1
146 3 1
146 4 1
146 5 1
146 6 1
146 7 1
146 8 1
146 9 1
146 10 1
146 11 1
146 12 1
146 13 1
146 14 1
146 15 1
146 16 1
146 17 1
146 18 1
146 19 1
146 20 1
147 1 1
147 2 1
147 3 1
147 4 1
147 5 1
147 6 1
147 7 1
147 8 1
147 9 1
147 10 1
147 11 1
147 12 1
147 13 1
147 14 1
147 15 1
147 16 1
147 17 1
147 18 1
147 19 1
147 20 1
148 1 1
148 2 1
148 3 1
148 4 1
148 5 1
148 6 1
148 7 1
148 8 1
148 9 1
148 10 1
148 11 1
148 12 1
148 13 1
148 14 1
148 15 1
148 16 1
148 17 1
148 18 1
148 19 1
148 20 1
149 1 1
149 2 1
149 3 1
149 4 1
149 5 1
149 6 1
149 7 1
149 8 1
149 9 1
149 10 1
149 11 1
149 12 1
149 13 1
149 14 1
149 15 1
149 16 1
149 17 1
149 18 1
149 19 1
149 20 1
150 1 1
150 2 1
150 3 1
150 4 1
150 5 1
150 6 1
150 7 1
150 8 1
150 9 1
150 10 1
150 11 1
150 12 1
150 13 1
150 14 1
150 15 1
150 16 1
150 17 1
150 18 1
150 19 1
150 20 1
151 1 1
151 2 1
151 3 1
151 4 1
151 5 1
151 6 1
151 7 1
151 8 1
151 9 1
151 10 1
151 11 1
151 12 1
151 13 1
151 14 1
151 15 1
151 16 1
151 17 1
151 18 1
151 19 1
151 20 1
152 1 1
152 2 1
152 3 1
152 4 1
152 5 1
152 6 1
152 7 1
152 8 1
152 9 1
152 10 1
152 11 1
152 12 1
152 13 1
152 14 1
152 15 1
152 16 1
152 17 1
152 18 1
152 19 1
152 20 1
153 1 1
153 2 1
153 3 1
153 4 1
153 5 1
153 6 1
153 7 1
153 8 1
153 9 1
154 1 1
154 2 1
154 3 1
154 4 1
154 5 1
154 6 1
154 7 1
154 8 1
154 9 1
155 1 1
155 2 1
155 3 1
155 4 1
155 5 1
155 6 1
155 7 1
155 8 1
155 9 1
156 1 1
156 2 1
156 3 1
156 4 1
156 5 1
156 6 1
156 7 1
156 8 1
156 9 1
time: 1100000000
144 1 834271 127123 1050 30027 5022 887 1131 40 259 74 9 42 10 13 26 1 15 1
144 2 837771 125252 1043 29119 4641 822 969 33 204 52 15 29 5 11 2 1 2 2 1 2 0 5 0 3 5 0 4 6 1 1
144 3 830204 129036 1079 31642 5413 1021 1191 51 254 72 6 24 3 4 1
144 4 836571 124941 1006 30080 4999 878 1088 43 240 75 13 35 11 12 8 1
144 5 736215 139754 2357 70911 13645 20656 11914 395 3444 331 232 110 0 37
144 6 792180 170771 1538 24558 2413 5005 2369 98 767 47 215 40
144 7 799273 164600 1402 24278 1611 5829 2425 20 358 16 101 60 16 11 1
144 8 706390 162448 2951 75385 14025 22426 13381 239 2527 56 139 34
144 9 777682 151099 1675 40723 4472 13909 7223 252 2413 161 336 56
144 10 799772 176731 1386 18627 1410 1707 353 0 15
144 11 797583 163928 1392 27132 1882 5804 1794 75 332 71 8
144 12 783412 180880 1573 24380 2507 4427 2099 34 611 41 37
144 13 705277 162393 2964 77779 14594 23391 11228 354 1930 51 40
144 14 786452 179514 1538 22100 2069 3608 2992 113 1394 104 117
144 15 811423 159717 1388 21161 2256 2529 910 16 367 58 141 35
144 16 813252 150877 1226 21256 4183 4309 2834 89 1554 277 135 9
144 17 769655 186517 1688 28193 2922 5376 3359 170 1287 421 304 109
144 18 786734 175447 1522 24682 3211 4487 2748 94 803 119 58 83 4 9
